"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"IRQ","Iraq",2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.4,2.1,2.4,2.8,2.8,
"IRL","Ireland",25,25,25,25,25,25,25,25,25,25,25.1,25.3,21.9,22.1,22,22,
"ISR","Israel",15.9,15.6,15.4,15.1,14.9,14.6,14.4,14.1,13.9,13.8,13.7,13.6,13.4,13.4,13.4,13.4,
"ITA","Italy",15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,14.6,14.3,14.6,15.1,15,15,
"JAM","Jamaica",3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,
"JPN","Japan",13.3,13.3,13.4,13.4,13.4,13.5,13.5,13.6,13.6,13.7,11,8.3,8.3,8.3,8.3,8.3,
"JOR","Jordan",7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,8,8.1,8.6,8.8,8.9,8.9,
"KAZ","Kazakhstan",14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.8,15.1,15.4,15.6,15.6,15.6,15.6,
"KEN","Kenya",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
"KIR","Kiribati",3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,
"PRK","Korea, Democratic People's Republic of",10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,
"KOR","Korea, Republic of",5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,7.8,8.2,8.5,8.9,9.2,9.2,9.2,
"KWT","Kuwait",6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.9,7,7.2,7.3,6.4,7.4,7.8,8.1,8.1,
"KGZ","Kyrgyzstan",10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.7,10.7,10.6,10.3,10.3,10.3,10.3,
"LAO","Lao People's Democratic Republic",1.7,2.2,2,1.8,1.7,1.5,1.6,1.6,1.6,1.7,1.5,1.5,1.5,1.5,1.5,1.5,
"LVA","Latvia",11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.9,11.9,11.9,11.7,11.4,10.8,10.8,
"LBN","Lebanon",7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.4,6.9,6.5,6,8.1,7.9,8.6,9.3,9.3,
"LSO","Lesotho",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,
"LBR","Liberia",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,
"LBY","Libyan Arab Jamahiriya",7.4,7.4,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.3,8,8.6,9.3,10,10.6,10.6,
"LIE","Liechtenstein","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",
"LTU","Lithuania",15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.5,15.6,15.6,15.6,14.6,14.6,14.6,
"LUX","Luxembourg",15,15,15,15,15,15,15,15,15,15.1,16.1,16.8,17,17,17,17,
"MDG","Madagascar",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.6,0.6,0.6,0.6,
"MWI","Malawi",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.3,0.3,0.3,
"MYS","Malaysia",3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.5,3.7,3.9,4.2,4.4,4.6,4.6,4.6,
"MDV","Maldives",4,4,4.1,4.2,4.2,4.3,4.4,4.4,4.5,4.5,5.6,6.6,7.6,7.6,7.6,7.6,
"MLI","Mali",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.5,0.3,0.4,0.4,0.4,
"MLT","Malta",12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.6,13,13.7,13,12.9,12.8,12.8,
"MHL","Marshall Islands",3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,
"MRT","Mauritania",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,
"MUS","Mauritius",5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
"MEX","Mexico",4.9,4.9,4.9,4.9,4.9,4.9,6.1,7.3,8.5,9.8,9.8,9.8,9.8,9.8,9.8,9.8,
"FSM","Micronesia, Federated States of",3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,
"MDA","Moldova, Republic of",11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.4,11.5,11.5,12,12,12,12,
"MCO","Monaco",26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,
"MKD","Macedonia",8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,9.3,9.4,9.4,9.4,9.4,9.4,
"MNG","Mongolia",8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.8,8.8,8.9,8.9,9,9,9,9,
"MNE","Montenegro",9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.5,9.5,9.5,9.5,
"MAR","Morocco",1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2.1,2.1,2.1,
"MOZ","Mozambique",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
"MMR","Myanmar",1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,
"NAM","Namibia",3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.5,
"NRU","Nauru","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",
"NPL","Nepal",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,
"NLD","Netherlands",20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,21.8,22,22.2,23,8,8,8,
"NZL","New Zealand",13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.1,13.3,13.9,14.5,15,15.6,15.6,15.6,15.6,
"NIC","Nicaragua",1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,
"NER","Niger",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,
"NGA","Nigeria",2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,
"NOR","Norway",22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,23.2,23.6,23.8,24.1,22.9,22.9,22.9,
"OMN","Oman",5.9,5.6,5.3,5.4,5.4,6.2,6.2,6.3,6.3,6.3,7,7.3,7.6,7.9,7.9,7.9,
"PAK","Pakistan",1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2.1,2,1.9,2.1,2.2,2.2,
"PLW","Palau",8.2,8.2,8.2,8.2,8.7,9.2,9.1,9,8.9,8.8,8.6,8.5,8.5,8.5,8.5,8.5,
"PAN","Panama",5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,
"PNG","Papua New Guinea",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
"PRY","Paraguay",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
"PER","Peru",3,3,3,3,3,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,
"PHL","Philippines",7.3,7.3,7.3,7.3,7.3,7.3,7.9,8.4,8.4,8.3,8.3,8.3,8.3,8.3,8.3,8.3,
"POL","Poland",10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,9.6,9.1,9.2,9.8,10,10,10,
"PRT","Portugal",11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.6,11.5,11.8,12.2,12.7,12.8,12.8,
"QAT","Qatar",10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.7,10.9,11.1,11.3,12.9,12.9,12.9,12.9,12.9,
"ROU","Romania",8,8,8,8,8,8,8,8,8,8,8.1,8,8,8,8,8,
"RUS","Russian Federation",17,17,17,17,17,17,17,17,17,17,17,17.1,17.1,17.1,17.1,17.1,
"RWA","Rwanda",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
"KNA","Saint Kitts and Nevis",7.1,7.1,7.1,7,7,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,
"LCA","Saint Lucia",12.6,12.6,12.6,12.6,12.6,8,3.5,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,
"VCT","Saint Vincent and the Grenadines",5.5,5.5,5.5,5.5,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,
"WSM","Samoa",3.1,3.1,3.1,3.1,3.1,2.9,2.7,2.5,2.3,1.9,1.5,1.5,1.5,1.5,1.5,1.5,
"SMR","San Marino","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",
"STP","Sao Tome and Principe",2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,
"SAU","Saudi Arabia",4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.7,5.2,5.7,6.1,6.5,6.9,4,4,4,
"SEN","Senegal",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,
"SRB","Serbia",8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.5,8.5,8.5,8.5,
"SYC","Seychelles",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
"SLE","Sierra Leone",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.3,0.2,0.2,0.2,
"SGP","Singapore",7.1,7.1,7.1,7.1,7.1,7.2,7.2,7.3,7.4,7.7,8,8.3,8.7,9.1,9.6,9.6,
"SVK","Slovakia",13,13,13,13,13,13,13,13,13,12.9,12.8,12.7,12.6,12.6,12.6,12.6,
"SVN","Slovenia",12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.6,12.6,12.8,12.7,12.9,13.1,13.1,13.1,
"SLB","Solomon Islands",1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.8,
"SOM","Somalia",0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
"ZAF","South Africa",5.9,5.9,5.8,5.8,5.8,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,
"ESP","Spain",14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.4,14.6,14.9,14.3,13.3,12.6,12.6,
"LKA","Sri Lanka",2.3,2.3,2.4,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,
"SDN","Sudan",1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.5,1.5,1.4,1.4,1.4,
"SUR","Suriname",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
"SWZ","Swaziland",6.3,6.3,6.3,6.3,6.3,6.3,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,
"SWE","Sweden",17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.7,17.8,18.3,18.7,18.7,18.7,18.7,18.7,
"CHE","Switzerland",18.3,18.3,18.3,18.3,18.3,18.3,18.9,19.5,20.4,21.2,21.9,22.7,23.3,24,24.1,24.1,
"SYR","Syrian Arab Republic",4,4,4,4,4,4.1,4.2,4.3,4.2,4.2,3.4,2.5,4.6,4.9,4.9,4.9,
"TJK","Tajikistan",9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.2,9.1,9.1,9.1,9.1,9.1,9.1,
"TZA","Tanzania, United Republic of",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
"THA","Thailand",3.3,3.4,3.4,3.4,3.4,3.6,2.7,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,
"TLS","Timor-Leste",2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,
"TGO","Togo",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,
"TON","Tonga",4.1,4.1,4.1,4.1,4.1,4.1,4.1,4,3.9,3.8,3.7,3.6,3.5,3.5,3.5,3.5,
"TTO","Trinidad and Tobago",4.5,4.5,4.5,4.6,4.8,4.9,5.1,5.3,5.4,5.6,5.8,5.9,5.9,5.9,5.9,5.9,
"TUN","Tunisia",4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.6,5.5,5.5,5.5,5.5,5.7,5.7,
"TUR","Turkey",5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.8,5.8,6.1,5.2,4.8,4.8,4.8,
"TKM","Turkmenistan",13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,11.5,10,9.8,9.7,9.4,9.4,9.4,9.4,
"TUV","Tuvalu",5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,6.4,6.5,6.7,6.8,6.9,7.1,7.1,7.1,
"UGA","Uganda",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.5,1.5,1.5,1.5,1.5,1.5,
"UKR","Ukraine",14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.5,14.7,14.7,14.7,14.7,14.7,
"ARE","United Arab Emirates",7.6,7.6,7.6,7.6,7.6,7.6,7.6,6.9,7.3,7.8,7.5,7.7,8,8,8,8,
"GBR","United Kingdom",17.4,17.4,17.4,15.1,12.9,10.6,8.7,6.8,5,6.9,8.7,10.4,12.1,13.9,15.8,15.8,
"USA","United States",14.2,14.2,14.3,14.4,14.4,14.5,14.6,14.8,14.9,15.1,15.2,15.2,15.2,15.2,15.2,15.2,
"URY","Uruguay",8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,9,9.8,10.6,11.4,12.2,13,13,13,
"UZB","Uzbekistan",16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.3,16.2,16.1,16,16,16,16,
