ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
PRK,"Korea, Democratic People's Republic of",0.577635409,0.55452944,0.561557577,0.56864637,0.57398272,0.577410933,0.580267294,0.584450278,0.589519371,0.596275677,0.604778429,0.618045503,0.628293146,0.637980515,0.645721537,0.651328288,0.651328288,0.651328288
KOR,"Korea, Republic of",0.895198711,0.684933755,0.687335818,0.742501411,0.745604806,0.708169872,0.792095259,0.885521803,0.931490755,1,1,0.901789702,0.916372762,0.768643637,0.905550652,0.914793649,0.914793649,0.914793649
KWT,Kuwait,1,1,0.502228389,0.50138502,0.501321961,0.501551677,0.501960176,0.502312114,0.502514248,0.502349316,0.50203892,0.501747277,0.501647896,0.501644371,0.501754843,0.50196884,0.50196884,0.50196884
KGZ,Kyrgyzstan,0.108010987,0.304079007,0.300019335,0.30875073,0.301412536,0.250767299,0.497611369,0.497530697,0.497838061,0.498126794,0.497990113,0.503690031,0.504159723,0.50417413,0.503285133,0.50332453,0.50332453,0.50332453
LAO,Lao People's Democratic Republic,0.956762131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LVA,Latvia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LBN,Lebanon,0.569896247,0.563858407,0.584918069,0.606838215,0.610163959,0.59763406,0.541251119,0.538675663,0.538519053,0.541789771,0.548770198,0.559117003,0.571786381,0.584418559,0.590497709,0.589453433,0.589453433,0.589453433
LSO,Lesotho,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LBR,Liberia,0.650428456,0.578475657,0.557609717,0.553334344,0.560106921,0.578784902,0.621529297,0.70042922,0.777808343,0.709323256,0.630955948,0.593726771,0.578024378,0.57338848,0.578145117,0.590925172,0.590925172,0.590925172
LBY,Libyan Arab Jamahiriya,0.519199368,0.524873175,0.525088595,0.525027758,0.524661165,0.524120967,0.536319519,0.53594033,0.535292391,0.534348005,0.533451629,0.542718585,0.541786352,0.543531525,0.549607714,0.561556792,0.561556792,0.561556792
