name,ISO3,business,finan,fiscal,gov_spend,invest,monetary,trade,non_violence,voice_accountability,corruption,mobiles,enrollment,rule_of_law,labor,economic,governance,social,readiness
Djibouti,DJI,0.357,0.6,0.782,0.589,0.6,0.705,0.319,0.594075428,0.281118343,0.448579505,0.163912604,0.049050116,0.371502896,0.553,0.718,0.831125321,0.951905882,0.820480693
Dominica,DMA,0.754,0.3,0.677,0.498,0.65,0.8,0.743,0.648629716,0.695157661,0.652906327,1,0.049477143,0.636477912,0.652,0.564571429,0.441257758,0.284366404,0.436068279
Dominican Rep,DOM,0.624,0.4,0.853,0.902,0.55,0.708,0.8,0.524478031,0.52284583,0.366293666,0.94079826,0.41801999,0.357424857,0.596,0.631714286,0.665564568,0.584488764,0.603542139
Ecuador,ECU,0.529,0.4,0.793,0.775,0.25,0.639,0.718,0.351743117,0.448017051,0.317012482,1,0.581641646,0.245966563,0.422,0.691,0.471205842,0.578060777,0.572110484
Egypt,EGY,0.65,0.5,0.897,0.734,0.5,0.642,0.74,0.375483844,0.278687109,0.418155915,0.733589163,0.390208183,0.494849742,0.556,0.586285714,0.37225755,0.562402052,0.500026494
El Salvador,SLV,0.674,0.7,0.857,0.892,0.75,0.741,0.838,0.505947303,0.515478763,0.465847618,1,0.336869075,0.3449721,0.645,0.666142857,0.357442289,0.543661772,0.526633227
Equatorial Guinea,GNQ,0.448,0.4,0.755,0.839,0.2,0.809,0.589,0.495184089,0.138863998,0.186292212,0.723820114,0.046556143,0.248277615,0.448,0.778857143,0.495757895,0.581710294,0.610653882
Eritrea,ERI,0.18,0.2,0.73,0.069,0.1,0.59,0.691,0.34189911,0.072419855,0.434150232,0.030600131,0.028171723,0.253666476,0.708,0.577142857,0.273446766,0.366663468,0.400912685
Estonia,EST,0.831,0.8,0.802,0.622,0.9,0.711,0.875,0.615879807,0.719476276,0.698715051,1,0.873690927,0.723717947,0.47,0.365714286,0.282823065,0.255109582,0.296225614
Ethiopia,ETH,0.663,0.2,0.777,0.829,0.25,0.604,0.619,0.156673507,0.250132973,0.358488306,0.053810899,0.049345783,0.346920621,0.615,0.791571429,0.678023712,0.766852218,0.75326508
Fiji,FJI,0.635,0.6,0.757,0.806,0.25,0.736,0.71,0.456375266,0.357653903,0.354129942,0.828997972,0.198155829,0.35042716,0.84,0.563142857,0.255098262,0.266269326,0.374797303
Finland,FIN,0.95,0.8,0.654,0.329,0.75,0.789,0.875,0.768716265,0.802892216,0.939791442,1,1,0.88351606,0.438,0.642,0.38938637,0.55439524,0.511885074
France,FRA,0.863,0.7,0.519,0.179,0.5,0.797,0.825,0.608217035,0.749573896,0.779148562,1,0.748503635,0.78222352,0.547,0.735285714,0.837133308,0.830379015,0.805526956
Gabon,GAB,0.588,0.4,0.615,0.864,0.45,0.714,0.621,0.522842007,0.291339556,0.31710904,1,0.100797,0.408541355,0.574,0.626142857,0.712313164,0.769431789,0.694594343
Gambia,GMB,0.585,0.5,0.719,0.753,0.55,0.716,0.606,0.552071074,0.291808022,0.390037021,0.924401189,0.063126994,0.414893236,0.638,0.607428571,0.377096868,0.520834589,0.485697805
Georgia,GEO,0.879,0.6,0.891,0.653,0.7,0.702,0.891,0.30374684,0.465289854,0.454983482,0.732501427,0.360641302,0.465509313,0.937,0.632714286,0.411305372,0.510105355,0.502360302
Germany,DEU,0.896,0.6,0.583,0.414,0.85,0.799,0.875,0.669276542,0.774678351,0.837372463,1,0.49863283,0.823546,0.399,0.759428571,0.408006725,0.62391301,0.592213414
Ghana,GHA,0.568,0.6,0.835,0.589,0.65,0.659,0.653,0.532132955,0.598062555,0.51241236,0.697219685,0.12204522,0.479036487,0.574,0.716714286,0.760442452,0.680294707,0.716986414
Greece,GRC,0.774,0.6,0.659,0.419,0.6,0.776,0.825,0.487179445,0.674562385,0.523480303,1,1,0.626367551,0.551,0.650571429,0.547535957,0.468075348,0.54812778
