ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Raw Reporting,Input Reporting
PAK,Pakistan,0.46,0.45,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.37,0.4,0.42,,,
PLW,Palau,0.26,0.27,0.27,0.28,0.28,0.29,0.3,0.3,0.31,0.31,0.32,0.35,0.37,0.4,0.43,0.46,,,
PAN,Panama,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.22,0.25,,,
PNG,Papua New Guinea,0.57,0.57,0.56,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.5,0.49,0.48,0.48,0.5,0.53,,,
PRY,Paraguay,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.29,0.32,,,
PER,Peru,0.34,0.33,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.26,0.25,0.24,0.24,0.23,0.26,0.29,,,
PHL,Philippines,0.35,0.34,0.33,0.33,0.32,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.29,0.32,,,
POL,Poland,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.22,0.25,,,
PRT,Portugal,0.2,0.2,0.19,0.19,0.18,0.17,0.16,0.16,0.15,0.14,0.14,0.12,0.12,0.12,0.15,0.18,,,
QAT,Qatar,0.27,0.26,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.2,0.19,0.19,0.19,0.18,0.21,0.24,,,
ROU,Romania,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,,,
RUS,Russian Federation,0.4,0.38,0.36,0.36,0.38,0.39,0.39,0.4,0.4,0.39,0.39,0.37,0.35,0.34,0.37,0.4,,,
RWA,Rwanda,1,1,0.99,0.93,0.88,0.84,0.81,0.79,0.77,0.75,0.73,0.72,0.71,0.7,0.72,0.74,,,
KNA,Saint Kitts and Nevis,0.32,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.3,0.33,0.36,0.39,0.42,0.44,0.47,0.5,,,
LCA,Saint Lucia,0.27,0.27,0.26,0.27,0.27,0.28,0.22,0.23,0.23,0.24,0.25,0.27,0.3,0.33,0.36,0.39,,,
VCT,Saint Vincent and the Grenadines,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.3,0.32,,,
WSM,Samoa,0.35,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.29,0.32,,,
SMR,San Marino,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,
STP,Sao Tome and Principe,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.42,0.44,,,
SAU,Saudi Arabia,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.27,0.3,,,
SEN,Senegal,0.64,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.59,0.59,0.61,0.63,,,
SRB,Serbia,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.26,0.29,,,
SYC,Seychelles,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.24,0.28,0.25,0.26,0.26,0.24,0.24,0.27,0.3,,,
SLE,Sierra Leone,0.94,0.93,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.79,0.77,0.76,0.76,0.75,0.77,0.79,,,
SGP,Singapore,0.17,0.17,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.11,0.1,0.1,0.09,0.09,0.12,0.15,,,
SVK,Slovakia,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.23,0.26,,,
SVN,Slovenia,0.23,0.21,0.21,0.2,0.2,0.18,0.18,0.17,0.17,0.15,0.15,0.14,0.14,0.12,0.15,0.18,,,
SLB,Solomon Islands,0.51,0.5,0.49,0.48,0.47,0.46,0.45,0.43,0.42,0.41,0.4,0.39,0.38,0.37,0.4,0.43,,,
SOM,Somalia,0.81,0.79,0.78,0.76,0.75,0.73,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.7,0.72,0.74,,,
ZAF,South Africa,0.49,0.5,0.52,0.54,0.56,0.58,0.61,0.63,0.64,0.66,0.66,0.67,0.67,0.67,0.69,0.71,,,
ESP,Spain,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.1,0.1,0.08,0.08,0.08,0.11,0.14,,,
LKA,Sri Lanka,0.31,0.31,0.31,0.3,0.29,0.28,0.26,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.25,0.28,,,
SDN,Sudan,0.61,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.54,0.56,0.58,,,
SUR,Suriname,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.35,0.37,,,
SWZ,Swaziland,0.52,0.54,0.57,0.61,0.65,0.69,0.72,0.75,0.78,0.79,0.8,0.8,0.79,0.78,0.8,0.82,,,
SWE,Sweden,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.11,0.14,,,
