ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TCD,Chad,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329
CHL,Chile,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.168499994,0.181,0.168249989,0.155499995,0.142750001,0.13,0.13
CHN,China,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131
COL,Colombia,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.21624999,0.205500007,0.194749999,0.184,0.184
COM,Comoros,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COG,Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COD,"Congo, the Democratic Republic of the",0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.983750057,1,1,1,1
CRI,Costa Rica,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.189200008,0.18440001,0.1796,0.174800003,0.17,0.17
CIV,C™te d'Ivoire,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498
HRV,Croatia,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.114499998,0.079,0.079,0.079,0.079,0.079
CUB,Cuba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CYP,Cyprus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CZE,Czech Republic,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.15675,0.1245,0.092250001,0.06,0.06,0.06
DNK,Denmark,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DJI,Djibouti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DMA,Dominica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DOM,Dominican Republic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ECU,Ecuador,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.426999998,0.35,0.273,0.302999997,0.332999992,0.363000011,0.393,0.393
EGY,Egypt,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.457999992,0.467000008,0.476,0.318,0.318,0.318,0.318
SLV,El Salvador,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.196999991,0.240999985,0.285,0.387750006,0.490499973,0.593249989,0.696,0.696
GNQ,Equatorial Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ERI,Eritrea,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
EST,Estonia,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.104250002,0.085500002,0.066750002,0.048,0.048,0.048
ETH,Ethiopia,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.390999985,0.290999985,0.191000009,0.091,0.091,0.091,0.091,0.091,0.091
FJI,Fiji,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486
FIN,Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FRA,France,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GAB,Gabon,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169
GMB,Gambia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GEO,Georgia,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.647666645,0.395333338,0.143,0.143,0.143,0.143
DEU,Germany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GHA,Ghana,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
GRC,Greece,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GRD,Grenada,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099
GTM,Guatemala,0.252,0.252,0.252,0.252,0.252,0.252,0.252,0.252,0.252,0.31833334,0.384666681,0.451,0.408500004,0.366000009,0.323500013,0.281,0.281
GIN,Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GNB,GuineaBissau,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525
GUY,Guyana,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.323166656,0.315333319,0.307499981,0.299666667,0.291833329,0.284,0.284
HTI,Haiti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HND,Honduras,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.368999982,0.375999999,0.383,0.517500019,0.651999998,0.786499977,0.921,0.921
HUN,Hungary,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.136749995,0.119499993,0.102250004,0.085,0.085,0.085
ISL,Iceland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IND,India,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.776000023,0.738000011,0.7,0.662,0.662,0.662,0.662,0.662,0.662
IDN,Indonesia,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.311166668,0.292333341,0.27349999,0.254666662,0.235833335,0.217,0.217,0.217
IRN,"Iran, Islamic Republic of",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IRQ,Iraq,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IRL,Ireland,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154
