ISO_3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
JAM,Jamaica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
JPN,Japan,0.70343656,0.70343656,0.70343656,0.70343656,0.70343656,0.70343656,0.70343656,0.700711694,0.694911749,0.714268398,0.719887956,0.71535178,0.712091289,0.695729632,0.697353448,0.697353448,0.697353448
JOR,Jordan,0.125364432,0.125364432,0.125364432,0.125364432,0.125364432,0.125364432,0.125364432,0.128919861,0.123768911,0.129159861,0.140761932,0.147989255,0.132176235,0.172755522,0.166749627,0.166749627,0.166749627
KAZ,Kazakhstan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KEN,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIR,Kiribati,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PRK,"Korea, Democratic People's Republic of",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KOR,"Korea, Republic of",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KWT,Kuwait,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KGZ,Kyrgyzstan,0.174090572,0.174090572,0.174090572,0.174090572,0.174090572,0.174090572,0.174090572,0.174090572,0.17294224,0.173440965,0.169713488,0.169390989,0.169634297,0.169461763,0.171236735,0.171236735,0.171236735
LAO,Lao People's Democratic Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LVA,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
