ISO_3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HUN,Hungary,2.540494459,2.540494459,2.540494459,2.540494459,2.540494459,2.540494459,2.540494459,2.540494459,2.540494459,2.029331514,1.279208596,1.325529351,2.0664715,1.381692573,1.832958672,1.832958672,1.832958672
ISL,Iceland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IND,India,32.22819759,32.22819759,32.22819759,32.22819759,32.22819759,32.22819759,32.22819759,31.61683432,29.87704441,31.62930427,32.91819102,33.56670167,34.33717844,34.65955884,35.1161072,35.1161072,35.1161072
IDN,Indonesia,16.52908428,16.52908428,16.52908428,16.52908428,16.52908428,16.52908428,16.52908428,16.52908428,11.74958507,14.86690105,16.01348333,16.01348333,16.01348333,16.01348333,16.01348333,16.01348333,16.01348333
IRN,"Iran, Islamic Republic of",12.56756968,12.56756968,12.56756968,12.56756968,12.56756968,12.56756968,12.56756968,12.73811754,12.91060453,13.08190925,17.99878231,18.21240492,18.42198323,19.0209964,19.0209964,19.0209964,19.0209964
IRQ,Iraq,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IRL,Ireland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ISR,Israel,31.55080214,31.55080214,31.55080214,31.55080214,31.55080214,31.55080214,31.55080214,30.90586146,30.70924377,30.51262856,30.31601143,30.11939621,29.92277992,29.13763428,28.35249042,28.35249042,28.35249042
ITA,Italy,18.33366875,18.33366875,18.33366875,18.33366875,18.33366875,18.33366875,18.33366875,18.33366875,18.33366875,18.03287697,17.73208469,18.27855492,18.82502471,18.82502471,18.82502471,18.82502471,18.82502471
JAM,Jamaica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
JPN,Japan,35.4683914,35.4683914,35.4683914,35.4683914,35.4683914,35.4683914,35.4683914,35.33487298,35.05067568,35.99915146,36.2745098,36.05223721,35.89247312,35.09075194,35.17031894,35.17031894,35.17031894
JOR,Jordan,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,7.317073171,7.064676617,7.328833173,7.89733465,8.251473477,7.476635514,9.465020576,9.170731707,9.170731707,9.170731707
KAZ,Kazakhstan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KEN,Kenya,0.044711055,0.044711055,0.044711055,0.044711055,0.044711055,0.044711055,0.044711055,0.026101872,0.111632061,0.040752816,0.040737723,0.044355733,0.033210332,0.033088235,0.036563071,0.036563071,0.036563071
KIR,Kiribati,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PRK,"Korea, Democratic People's Republic of",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KOR,"Korea, Republic of",54.87232934,54.87232934,54.87232934,54.87232934,54.87232934,54.87232934,54.87232934,54.87232934,53.41745531,52.879028,52.09994684,51.39935414,51.63043478,51.63043478,51.63043478,51.63043478,51.63043478
KWT,Kuwait,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KGZ,Kyrgyzstan,9.53043801,9.53043801,9.53043801,9.53043801,9.53043801,9.53043801,9.53043801,9.53043801,9.474169742,9.498607242,9.315960912,9.30015842,9.312080537,9.303626363,9.390599981,9.390599981,9.390599981
LAO,Lao People's Democratic Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LVA,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBN,Lebanon,18.97926635,18.97926635,18.97926635,18.97926635,18.97926635,18.97926635,18.97926635,18.97926635,18.97926635,19.7492163,20.06125574,20.6095791,19.94177584,19.94177584,19.94177584,19.94177584,19.94177584
LSO,Lesotho,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LBR,Liberia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
