"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"ITA","Italy",,0.83,,0.97,,0.9,,0.82,0.6,0.51,0.55,0.59,0.5,0.58,0.53,,
"JAM","Jamaica",,0.25,,-0.21,,-0.09,,-0.4,-0.44,-0.29,-0.34,-0.27,-0.19,-0.25,-0.33,,
"JPN","Japan",,0.81,,1.2,,1.06,,1.09,1.05,1.04,1.01,1.06,1,0.86,0.95,,
"JOR","Jordan",,0.17,,-0.13,,0.01,,-0.54,-0.24,-0.29,-0.15,-0.61,-0.23,-0.26,-0.23,,
"KAZ","Kazakhstan",,-0.31,,0.13,,0.09,,0.26,0.28,0,0.13,0.21,0.5,0.54,0.64,,
"KEN","Kenya",,-0.72,,-0.97,,-1.16,,-1.2,-1.17,-1,-1.08,-1,-1.08,-1.24,-1.3,,
"KIR","Kiribati",,,,,,,,,1.23,1.21,1.41,1.39,1.38,1.38,1.45,,
"PRK","Korea, Democratic People's Republic of",,-1.82,,-0.45,,-0.09,,0.26,0,-0.23,-0.29,-0.23,0.36,0.35,-0.24,,
"KOR","Korea, Republic of",,-0.05,,-0.02,,0.04,,0.19,0.2,0.36,0.48,0.32,0.4,0.36,0.21,,
"KWT","Kuwait",,0.01,,0.35,,0.61,,-0.14,0.08,0.16,0.22,0.37,0.56,0.5,0.42,,
"KGZ","Kyrgyzstan",,0.57,,0.01,,-0.48,,-1.26,-1.34,-1.25,-1.2,-1.34,-1.09,-0.62,-0.54,,
"LAO","Lao People's Democratic Republic",,1.04,,-0.31,,-0.73,,-0.21,-1.19,-0.55,-0.22,0,-0.06,0.09,0,,
"LVA","Latvia",,0.52,,0.13,,0.61,,0.89,1.05,0.77,0.79,0.85,0.66,0.38,0.44,,
"LBN","Lebanon",,-0.52,,-0.86,,-0.61,,-0.66,-0.64,-0.87,-1.08,-1.86,-2.12,-1.88,-1.51,,
"LSO","Lesotho",,0.56,,-0.22,,0.01,,0.05,0.16,0.36,0.06,-0.03,-0.19,-0.06,0.36,,
"LBR","Liberia",,-2.6,,-1.73,,-2.08,,-2.26,-2.23,-1.48,-1.41,-1.3,-1.25,-1.26,-0.99,,
"LBY","Libyan Arab Jamahiriya",,-1.75,,-1.22,,-0.69,,-0.5,-0.3,-0.05,0.28,0.29,0.58,0.68,0.62,,
"LIE","Liechtenstein",,,,1.11,,1.13,,1.19,1.46,1.52,1.41,1.39,1.38,1.38,1.6,,
"LTU","Lithuania",,0.44,,0.41,,0.56,,0.93,1.07,0.8,0.77,0.86,0.81,0.78,0.66,,
"LUX","Luxembourg",,1.07,,1.43,,1.55,,1.58,1.48,1.33,1.33,1.41,1.48,1.52,1.44,,
"MDG","Madagascar",,0.08,,0.03,,0.14,,-0.27,0.52,0.14,-0.04,0.08,-0.01,-0.43,-0.67,,
"MWI","Malawi",,-0.25,,-0.13,,-0.56,,-0.08,-0.08,0.05,0.03,0,-0.01,-0.09,-0.06,,
"MYS","Malaysia",,0.47,,-0.04,,0.13,,0.44,0.42,0.32,0.45,0.29,0.23,0.17,0.07,,
"MDV","Maldives",,0.21,,1.03,,1.11,,0.99,0.95,0.57,0.8,0.73,0.1,-0.08,-0.15,,
"MLI","Mali",,0.66,,0.11,,0.12,,0.29,0.25,0.52,0.25,0.09,0.02,0.02,-0.27,,
"MLT","Malta",,1.15,,1.35,,1.4,,1.53,1.56,1.3,1.33,1.16,1.21,1.25,1.06,,
"MHL","Marshall Islands",,,,,,,,,1.23,1.16,1.13,1.11,1.17,1.08,1.46,,
"MRT","Mauritania",,0.56,,0.22,,0.1,,0.17,0.01,-0.03,-0.38,-0.04,-0.3,-0.91,-1.17,,
"MUS","Mauritius",,0.79,,0.97,,0.68,,0.97,0.97,1,1,0.78,0.86,0.89,0.61,,
"MEX","Mexico",,-0.92,,-0.46,,-0.04,,0.04,-0.15,-0.07,-0.29,-0.51,-0.56,-0.63,-0.68,,
"FSM","Micronesia, Federated States of",,,,,,,,,0.65,0.97,1.08,1.13,1.13,1.17,1.3,,
"MDA","Moldova, Republic of",,0.05,,0.15,,-0.21,,-0.16,-0.23,-0.56,-0.6,-0.47,-0.18,-0.33,-0.5,,
