ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
DEU,Germany,29.35,28.56400108,27.77799988,26.99200058,26.20599937,25.42,24.53000069,23.63999939,22.75,21.8599987,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97
GHA,Ghana,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85
GRC,Greece,13.35,13.35,13.35,13.35,13.35,13.35,13.22800064,13.10599995,12.98400021,12.86199951,12.74,12.74,12.74,12.74,12.74,12.74,12.74,12.74
GRD,Grenada,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
GTM,Guatemala,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64
GIN,Guinea,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
GNB,Guinea-Bissau,0.56,0.560000002,0.560000002,0.560000002,0.560000002,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
GUY,Guyana,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
HTI,Haiti,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55
HND,Honduras,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
HUN,Hungary,5.62,5.62,5.62,5.62,5.62,5.62,5.572000027,5.524000168,5.475999832,5.427999973,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38
ISL,Iceland,0.1,0.1,0.1,0.1,0.1,0.1,0.100000001,0.100000001,0.100000001,0.100000001,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
IND,India,31.94,31.94,31.94,31.94,31.94,31.94,32.72800064,33.51599884,34.30400085,35.09199905,35.88000107,36.66799927,37.45600128,38.24399948,39.0320015,39.82,39.82,39.82
IDN,Indonesia,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61
IRN,"Iran, Islamic Republic of",60.36,61.33599854,62.31200027,63.2879982,64.26399994,65.24,65.73400116,66.22799683,66.72200012,67.21599579,67.71,67.71,67.71,67.71,67.71,67.71,67.71,67.71
IRQ,Iraq,71.93,75,78.06999969,81.13999939,84.20999908,87.28,87.28,87.28,87.28,87.28,87.28,87.28,87.28,87.28,87.28,87.28,87.28,87.28
IRL,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,Israel,101.4,101.4,101.4,101.4,101.4,101.4,101.5,101.5999985,101.7000046,101.8000031,101.9,101.9,101.9,101.9,101.9,101.9,101.9,101.9
ITA,Italy,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69
JAM,Jamaica,9.57,8.897999763,8.225999832,7.553999901,6.881999969,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21
JPN,Japan,20.7,20.74600029,20.79199982,20.83800125,20.88400078,20.93,20.93,20.93,20.93,20.93,20.93,20.93,20.93,20.93,20.93,20.93,20.93,20.93
