ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
LVA,Latvia,0.3125,0.313866,0.315232,0.316598,0.317964,0.31933,0.319464,0.319598,0.319732,0.319866,0.32,0.320568,0.321136,0.321704,0.322272,0.32284,0.32286,0.32286
LBN,Lebanon,0.1518,0.14944,0.14708,0.14472,0.14236,0.14,0.13886,0.13772,0.13658,0.13544,0.1343,0.133168,0.132036,0.130904,0.129772,0.12864,0.127522,0.127522
LSO,Lesotho,0.83045,0.824416,0.818382,0.812348,0.806314,0.80028,0.793672,0.787064,0.780456,0.773848,0.76724,0.760098,0.752956,0.745814,0.738672,0.73153,0.724262,0.724262
LBR,Liberia,0.57376,0.570346,0.566932,0.563518,0.560104,0.55669,0.55325,0.54981,0.54637,0.54293,0.53949,0.53599,0.53249,0.52899,0.52549,0.52199,0.518178,0.518178
LBY,Libyan Arab Jamahiriya,0.24006,0.239372,0.238684,0.237996,0.237308,0.23662,0.235568,0.234516,0.233464,0.232412,0.23136,0.229962,0.228564,0.227166,0.225768,0.22437,0.22265,0.22265
LIE,Liechtenstein,0.83518,0.837884,0.840588,0.843292,0.845996,0.8487,0.849498,0.850296,0.851094,0.851892,0.85269,0.853256,0.853822,0.854388,0.854954,0.85552,0.855858,0.855858
LTU,Lithuania,0.32715,0.327748,0.328346,0.328944,0.329542,0.33014,0.330842,0.331544,0.332246,0.332948,0.33365,0.332918,0.332186,0.331454,0.330722,0.32999,0.328848,0.328848
LUX,Luxembourg,0.17107,0.169352,0.167634,0.165916,0.164198,0.16248,0.162128,0.161776,0.161424,0.161072,0.16072,0.158204,0.155688,0.153172,0.150656,0.14814,0.145866,0.145866
MDG,Madagascar,0.74204,0.73939,0.73674,0.73409,0.73144,0.72879,0.725404,0.722018,0.718632,0.715246,0.71186,0.705628,0.699396,0.693164,0.686932,0.6807,0.674316,0.674316
MWI,Malawi,0.86737,0.864676,0.861982,0.859288,0.856594,0.8539,0.853012,0.852124,0.851236,0.850348,0.84946,0.848482,0.847504,0.846526,0.845548,0.84457,0.843044,0.843044
MYS,Malaysia,0.44312,0.430542,0.417964,0.405386,0.392808,0.38023,0.369034,0.357838,0.346642,0.335446,0.32425,0.315388,0.306526,0.297664,0.288802,0.27994,0.27316,0.27316
MDV,Maldives,0.74362,0.739484,0.735348,0.731212,0.727076,0.72294,0.710852,0.698764,0.686676,0.674588,0.6625,0.650012,0.637524,0.625036,0.612548,0.60006,0.588864,0.588864
MLI,Mali,0.74481,0.739692,0.734574,0.729456,0.724338,0.71922,0.713188,0.707156,0.701124,0.695092,0.68906,0.682694,0.676328,0.669962,0.663596,0.65723,0.650742,0.650742
MLT,Malta,0.09054,0.087696,0.084852,0.082008,0.079164,0.07632,0.073766,0.071212,0.068658,0.066104,0.06355,0.061498,0.059446,0.057394,0.055342,0.05329,0.051768,0.051768
MHL,Marshall Islands,0.33273,0.329462,0.326194,0.322926,0.319658,0.31639,0.313188,0.309986,0.306784,0.303582,0.30038,0.29724,0.2941,0.29096,0.28782,0.28468,0.28161,0.28161
MRT,Mauritania,0.6017,0.601382,0.601064,0.600746,0.600428,0.60011,0.599382,0.598654,0.597926,0.597198,0.59647,0.594716,0.592962,0.591208,0.589454,0.5877,0.5849,0.5849
MUS,Mauritius,0.56716,0.568388,0.569616,0.570844,0.572072,0.5733,0.57428,0.57526,0.57624,0.57722,0.5782,0.579002,0.579804,0.580606,0.581408,0.58221,0.582026,0.582026
MEX,Mexico,0.26632,0.263612,0.260904,0.258196,0.255488,0.25278,0.249608,0.246436,0.243264,0.240092,0.23692,0.233886,0.230852,0.227818,0.224784,0.22175,0.218942,0.218942
FSM,"Micronesia, Federated States of",0.74932,0.754796,0.760272,0.765748,0.771224,0.7767,0.7767,0.7767,0.7767,0.7767,0.7767,0.776332,0.775964,0.775596,0.775228,0.77486,0.773868,0.773868
MDA,"Moldova, Republic of",0.53706,0.54047,0.54388,0.54729,0.5507,0.55411,0.556962,0.559814,0.562666,0.565518,0.56837,0.560824,0.553278,0.545732,0.538186,0.53064,0.523444,0.523444
MCO,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,Macedonia,0.40275,0.403478,0.404206,0.404934,0.405662,0.40639,0.407002,0.407614,0.408226,0.408838,0.40945,0.409182,0.408914,0.408646,0.408378,0.40811,0.406844,0.406844
MNG,Mongolia,0.43195,0.431294,0.430638,0.429982,0.429326,0.42867,0.417948,0.407226,0.396504,0.385782,0.37506,0.364914,0.354768,0.344622,0.334476,0.32433,0.315418,0.315418
MNE,Montenegro,0.46635,0.455992,0.445634,0.435276,0.424918,0.41456,0.407248,0.399936,0.392624,0.385312,0.378,0.376208,0.374416,0.372624,0.370832,0.36904,0.367114,0.367114
MAR,Morocco,0.48308,0.479794,0.476508,0.473222,0.469936,0.46665,0.46338,0.46011,0.45684,0.45357,0.4503,0.446888,0.443476,0.440064,0.436652,0.43324,0.42959,0.42959
MOZ,Mozambique,0.73779,0.732036,0.726282,0.720528,0.714774,0.70902,0.707218,0.705416,0.703614,0.701812,0.70001,0.698092,0.696174,0.694256,0.692338,0.69042,0.687844,0.687844
MMR,Myanmar,0.74358,0.740434,0.737288,0.734142,0.730996,0.72785,0.72351,0.71917,0.71483,0.71049,0.70615,0.700754,0.695358,0.689962,0.684566,0.67917,0.673476,0.673476
NAM,Namibia,0.70187,0.69675,0.69163,0.68651,0.68139,0.67627,0.67093,0.66559,0.66025,0.65491,0.64957,0.64402,0.63847,0.63292,0.62737,0.62182,0.616092,0.616092
NRU,Nauru,,,,,,,,,,,,,,,,,,
NPL,Nepal,0.89105,0.885978,0.880906,0.875834,0.870762,0.86569,0.862324,0.858958,0.855592,0.852226,0.84886,0.845776,0.842692,0.839608,0.836524,0.83344,0.830042,0.830042
NLD,Netherlands,0.27189,0.263914,0.255938,0.247962,0.239986,0.23201,0.225264,0.218518,0.211772,0.205026,0.19828,0.19313,0.18798,0.18283,0.17768,0.17253,0.16868,0.16868
NZL,New Zealand,0.14667,0.145982,0.145294,0.144606,0.143918,0.14323,0.14248,0.14173,0.14098,0.14023,0.13948,0.139196,0.138912,0.138628,0.138344,0.13806,0.1376,0.1376
NIC,Nicaragua,0.46466,0.462254,0.459848,0.457442,0.455036,0.45263,0.450238,0.447846,0.445454,0.443062,0.44067,0.438032,0.435394,0.432756,0.430118,0.42748,0.424436,0.424436
NER,Niger,0.84227,0.841444,0.840618,0.839792,0.838966,0.83814,0.837048,0.835956,0.834864,0.833772,0.83268,0.830912,0.829144,0.827376,0.825608,0.82384,0.821316,0.821316
NGA,Nigeria,0.61157,0.604554,0.597538,0.590522,0.583506,0.57649,0.569692,0.562894,0.556096,0.549298,0.5425,0.535998,0.529496,0.522994,0.516492,0.50999,0.503848,0.503848
NOR,Norway,0.26236,0.257726,0.253092,0.248458,0.243824,0.23919,0.236372,0.233554,0.230736,0.227918,0.2251,0.221876,0.218652,0.215428,0.212204,0.20898,0.20626,0.20626
OMN,Oman,0.28331,0.28351,0.28371,0.28391,0.28411,0.28431,0.283634,0.282958,0.282282,0.281606,0.28093,0.278368,0.275806,0.273244,0.270682,0.26812,0.265596,0.265596
PAK,Pakistan,0.68164,0.679036,0.676432,0.673828,0.671224,0.66862,0.665934,0.663248,0.660562,0.657876,0.65519,0.652388,0.649586,0.646784,0.643982,0.64118,0.637844,0.637844
PLW,Palau,0.28569,0.288626,0.291562,0.294498,0.297434,0.30037,0.284896,0.269422,0.253948,0.238474,0.223,0.211664,0.200328,0.188992,0.177656,0.16632,0.158846,0.158846
PAN,Panama,0.40026,0.388634,0.377008,0.365382,0.353756,0.34213,0.332222,0.322314,0.312406,0.302498,0.29259,0.28485,0.27711,0.26937,0.26163,0.25389,0.248028,0.248028
PNG,Papua New Guinea,0.85919,0.860944,0.862698,0.864452,0.866206,0.86796,0.869234,0.870508,0.871782,0.873056,0.87433,0.8746,0.87487,0.87514,0.87541,0.87568,0.874978,0.874978
PRY,Paraguay,0.47869,0.47229,0.46589,0.45949,0.45309,0.44669,0.440422,0.434154,0.427886,0.421618,0.41535,0.409532,0.403714,0.397896,0.392078,0.38626,0.380952,0.380952
PER,Peru,0.29049,0.286308,0.282126,0.277944,0.273762,0.26958,0.265596,0.261612,0.257628,0.253644,0.24966,0.245906,0.242152,0.238398,0.234644,0.23089,0.22756,0.22756
PHL,Philippines,0.5171,0.5177,0.5183,0.5189,0.5195,0.5201,0.520014,0.519928,0.519842,0.519756,0.51967,0.51844,0.51721,0.51598,0.51475,0.51352,0.511144,0.511144
POL,Poland,0.38507,0.384624,0.384178,0.383732,0.383286,0.38284,0.38336,0.38388,0.3844,0.38492,0.38544,0.386462,0.387484,0.388506,0.389528,0.39055,0.391052,0.391052
