ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
NIC,Nicaragua,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072
NER,Niger,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.206750005,0.183499992,0.160249993,0.137,0.136999995,0.137,0.137,0.137
NGA,Nigeria,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.680999994,1.66200006,1.643000007,1.624000072,1.605,1.605000019,1.605,1.605,1.605
NOR,Norway,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.22,16.329,14.76,15.08349991,15.407,15.407,15.407
OMN,Oman,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.797999859,3.896,4.112,4.302999973,4.494,4.494,4.494
PAK,Pakistan,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.415499985,0.381,0.468999982,0.557,0.557,0.557,0.557
PLW,Palau,6,6,6,6,6,6,6,6,6,6,5.949999809,5.9,5.853500366,5.80700016,5.760499954,5.714,5.714,5.714
PAN,Panama,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765,2.765
PNG,Papua New Guinea,0.53,0.53,0.53,0.53,0.53,0.53,0.520874977,0.511749983,0.502624989,0.493499994,0.48437497,0.475249976,0.466124982,0.457,0.456999987,0.457,0.457,0.457
PRY,Paraguay,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788,1.788
PER,Peru,0.67,0.67,0.67,0.67,0.67,0.730100036,0.790199995,0.850300014,0.910400033,0.970499992,1.030600071,1.09070003,1.15079999,1.210900068,1.271,1.271,1.271,1.271
PHL,Philippines,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.059999943,6,6,6,6,6,6,6,6,6
POL,Poland,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.187,5.458499908,5.73,5.5625,5.395,5.395,5.395
PRT,Portugal,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.832,5.081500053,5.331,5.330999851,5.331,5.331,5.331
QAT,Qatar,6,6,6,6,6,6,6,6,6,6,6,7.372,7.372000217,7.372000217,7.372000217,7.372,7.372,7.372
ROU,Romania,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.506500244,4.822999954,5.139499664,5.456,5.456,5.456
RUS,Russian Federation,8.519,8.519,8.519,8.519,8.519,8.519,8.519,8.519,8.519,8.519,8.519,8.519,8.519024849,8.519050598,8.519075394,8.5191,8.5191,8.5191
RWA,Rwanda,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.448,0.496200025,0.544400036,0.592599988,0.640799999,0.689,0.689,0.689
KNA,Saint Kitts and Nevis,4.7142,4.7142,4.7142,4.7142,4.7142,4.7142,7,7,7,7,7,7,7,7,7,7,7,7
LCA,Saint Lucia,2.28,2.28,2.28,2.28,2.28,2.240666628,2.201333284,2.162,2.162,2.162,2.162,2.162,2.162,2.162,2.162,2.162,2.162,2.162
